Datum,Salesindex
2013-07-01,92.2
2013-07-02,92.2
2013-07-03,92.2
2013-07-04,92.2
2013-07-05,92.2
2013-07-06,92.2
2013-07-07,92.2
2013-07-08,92.2
2013-07-09,92.2
2013-07-10,92.2
2013-07-11,92.2
2013-07-12,92.2
2013-07-13,92.2
2013-07-14,92.2
2013-07-15,92.2
2013-07-16,92.2
2013-07-17,92.2
2013-07-18,92.2
2013-07-19,92.2
2013-07-20,92.2
2013-07-21,92.2
2013-07-22,92.2
2013-07-23,92.2
2013-07-24,92.2
2013-07-25,92.2
2013-07-26,92.2
2013-07-27,92.2
2013-07-28,92.2
2013-07-29,92.2
2013-07-30,92.2
2013-07-31,92.2
2013-08-01,92.2
2013-08-02,92.2
2013-08-03,92.2
2013-08-04,92.2
2013-08-05,92.2
2013-08-06,92.2
2013-08-07,92.2
2013-08-08,92.2
2013-08-09,92.2
2013-08-10,92.2
2013-08-11,92.2
2013-08-12,92.2
2013-08-13,92.2
2013-08-14,92.2
2013-08-15,92.2
2013-08-16,92.2
2013-08-17,92.2
2013-08-18,92.2
2013-08-19,92.2
2013-08-20,92.2
2013-08-21,92.2
2013-08-22,92.2
2013-08-23,92.2
2013-08-24,92.2
2013-08-25,92.2
2013-08-26,92.2
2013-08-27,92.2
2013-08-28,92.2
2013-08-29,92.2
2013-08-30,92.2
2013-08-31,92.2
2013-09-01,92.4
2013-09-02,92.4
2013-09-03,92.4
2013-09-04,92.4
2013-09-05,92.4
2013-09-06,92.4
2013-09-07,92.4
2013-09-08,92.4
2013-09-09,92.4
2013-09-10,92.4
2013-09-11,92.4
2013-09-12,92.4
2013-09-13,92.4
2013-09-14,92.4
2013-09-15,92.4
2013-09-16,92.4
2013-09-17,92.4
2013-09-18,92.4
2013-09-19,92.4
2013-09-20,92.4
2013-09-21,92.4
2013-09-22,92.4
2013-09-23,92.4
2013-09-24,92.4
2013-09-25,92.4
2013-09-26,92.4
2013-09-27,92.4
2013-09-28,92.4
2013-09-29,92.4
2013-09-30,92.4
2013-10-01,92.4
2013-10-02,92.4
2013-10-03,92.4
2013-10-04,92.4
2013-10-05,92.4
2013-10-06,92.4
2013-10-07,92.4
2013-10-08,92.4
2013-10-09,92.4
2013-10-10,92.4
2013-10-11,92.4
2013-10-12,92.4
2013-10-13,92.4
2013-10-14,92.4
2013-10-15,92.4
2013-10-16,92.4
2013-10-17,92.4
2013-10-18,92.4
2013-10-19,92.4
2013-10-20,92.4
2013-10-21,92.4
2013-10-22,92.4
2013-10-23,92.4
2013-10-24,92.4
2013-10-25,92.4
2013-10-26,92.4
2013-10-27,92.4
2013-10-28,92.4
2013-10-29,92.4
2013-10-30,92.4
2013-10-31,92.4
2013-11-01,92.6
2013-11-02,92.6
2013-11-03,92.6
2013-11-04,92.6
2013-11-05,92.6
2013-11-06,92.6
2013-11-07,92.6
2013-11-08,92.6
2013-11-09,92.6
2013-11-10,92.6
2013-11-11,92.6
2013-11-12,92.6
2013-11-13,92.6
2013-11-14,92.6
2013-11-15,92.6
2013-11-16,92.6
2013-11-17,92.6
2013-11-18,92.6
2013-11-19,92.6
2013-11-20,92.6
2013-11-21,92.6
2013-11-22,92.6
2013-11-23,92.6
2013-11-24,92.6
2013-11-25,92.6
2013-11-26,92.6
2013-11-27,92.6
2013-11-28,92.6
2013-11-29,92.6
2013-11-30,92.6
2013-12-01,92.5
2013-12-02,92.5
2013-12-03,92.5
2013-12-04,92.5
2013-12-05,92.5
2013-12-06,92.5
2013-12-07,92.5
2013-12-08,92.5
2013-12-09,92.5
2013-12-10,92.5
2013-12-11,92.5
2013-12-12,92.5
2013-12-13,92.5
2013-12-14,92.5
2013-12-15,92.5
2013-12-16,92.5
2013-12-17,92.5
2013-12-18,92.5
2013-12-19,92.5
2013-12-20,92.5
2013-12-21,92.5
2013-12-22,92.5
2013-12-23,92.5
2013-12-24,92.5
2013-12-25,92.5
2013-12-26,92.5
2013-12-27,92.5
2013-12-28,92.5
2013-12-29,92.5
2013-12-30,92.5
2013-12-31,92.5
2014-01-01,92.7
2014-01-02,92.7
2014-01-03,92.7
2014-01-04,92.7
2014-01-05,92.7
2014-01-06,92.7
2014-01-07,92.7
2014-01-08,92.7
2014-01-09,92.7
2014-01-10,92.7
2014-01-11,92.7
2014-01-12,92.7
2014-01-13,92.7
2014-01-14,92.7
2014-01-15,92.7
2014-01-16,92.7
2014-01-17,92.7
2014-01-18,92.7
2014-01-19,92.7
2014-01-20,92.7
2014-01-21,92.7
2014-01-22,92.7
2014-01-23,92.7
2014-01-24,92.7
2014-01-25,92.7
2014-01-26,92.7
2014-01-27,92.7
2014-01-28,92.7
2014-01-29,92.7
2014-01-30,92.7
2014-01-31,92.7
2014-02-01,92.8
2014-02-02,92.8
2014-02-03,92.8
2014-02-04,92.8
2014-02-05,92.8
2014-02-06,92.8
2014-02-07,92.8
2014-02-08,92.8
2014-02-09,92.8
2014-02-10,92.8
2014-02-11,92.8
2014-02-12,92.8
2014-02-13,92.8
2014-02-14,92.8
2014-02-15,92.8
2014-02-16,92.8
2014-02-17,92.8
2014-02-18,92.8
2014-02-19,92.8
2014-02-20,92.8
2014-02-21,92.8
2014-02-22,92.8
2014-02-23,92.8
2014-02-24,92.8
2014-02-25,92.8
2014-02-26,92.8
2014-02-27,92.8
2014-02-28,92.8
2014-03-01,92.9
2014-03-02,92.9
2014-03-03,92.9
2014-03-04,92.9
2014-03-05,92.9
2014-03-06,92.9
2014-03-07,92.9
2014-03-08,92.9
2014-03-09,92.9
2014-03-10,92.9
2014-03-11,92.9
2014-03-12,92.9
2014-03-13,92.9
2014-03-14,92.9
2014-03-15,92.9
2014-03-16,92.9
2014-03-17,92.9
2014-03-18,92.9
2014-03-19,92.9
2014-03-20,92.9
2014-03-21,92.9
2014-03-22,92.9
2014-03-23,92.9
2014-03-24,92.9
2014-03-25,92.9
2014-03-26,92.9
2014-03-27,92.9
2014-03-28,92.9
2014-03-29,92.9
2014-03-30,92.9
2014-03-31,92.9
2014-04-01,93.0
2014-04-02,93.0
2014-04-03,93.0
2014-04-04,93.0
2014-04-05,93.0
2014-04-06,93.0
2014-04-07,93.0
2014-04-08,93.0
2014-04-09,93.0
2014-04-10,93.0
2014-04-11,93.0
2014-04-12,93.0
2014-04-13,93.0
2014-04-14,93.0
2014-04-15,93.0
2014-04-16,93.0
2014-04-17,93.0
2014-04-18,93.0
2014-04-19,93.0
2014-04-20,93.0
2014-04-21,93.0
2014-04-22,93.0
2014-04-23,93.0
2014-04-24,93.0
2014-04-25,93.0
2014-04-26,93.0
2014-04-27,93.0
2014-04-28,93.0
2014-04-29,93.0
2014-04-30,93.0
2014-05-01,93.2
2014-05-02,93.2
2014-05-03,93.2
2014-05-04,93.2
2014-05-05,93.2
2014-05-06,93.2
2014-05-07,93.2
2014-05-08,93.2
2014-05-09,93.2
2014-05-10,93.2
2014-05-11,93.2
2014-05-12,93.2
2014-05-13,93.2
2014-05-14,93.2
2014-05-15,93.2
2014-05-16,93.2
2014-05-17,93.2
2014-05-18,93.2
2014-05-19,93.2
2014-05-20,93.2
2014-05-21,93.2
2014-05-22,93.2
2014-05-23,93.2
2014-05-24,93.2
2014-05-25,93.2
2014-05-26,93.2
2014-05-27,93.2
2014-05-28,93.2
2014-05-29,93.2
2014-05-30,93.2
2014-05-31,93.2
2014-06-01,93.3
2014-06-02,93.3
2014-06-03,93.3
2014-06-04,93.3
2014-06-05,93.3
2014-06-06,93.3
2014-06-07,93.3
2014-06-08,93.3
2014-06-09,93.3
2014-06-10,93.3
2014-06-11,93.3
2014-06-12,93.3
2014-06-13,93.3
2014-06-14,93.3
2014-06-15,93.3
2014-06-16,93.3
2014-06-17,93.3
2014-06-18,93.3
2014-06-19,93.3
2014-06-20,93.3
2014-06-21,93.3
2014-06-22,93.3
2014-06-23,93.3
2014-06-24,93.3
2014-06-25,93.3
2014-06-26,93.3
2014-06-27,93.3
2014-06-28,93.3
2014-06-29,93.3
2014-06-30,93.3
2014-07-01,93.6
2014-07-02,93.6
2014-07-03,93.6
2014-07-04,93.6
2014-07-05,93.6
2014-07-06,93.6
2014-07-07,93.6
2014-07-08,93.6
2014-07-09,93.6
2014-07-10,93.6
2014-07-11,93.6
2014-07-12,93.6
2014-07-13,93.6
2014-07-14,93.6
2014-07-15,93.6
2014-07-16,93.6
2014-07-17,93.6
2014-07-18,93.6
2014-07-19,93.6
2014-07-20,93.6
2014-07-21,93.6
2014-07-22,93.6
2014-07-23,93.6
2014-07-24,93.6
2014-07-25,93.6
2014-07-26,93.6
2014-07-27,93.6
2014-07-28,93.6
