Datum,Feiertag
01.01.2013,Neujahr
29.03.2013,Karfreitag
01.04.2013,Ostermontag
01.05.2013,Maifeiertag
09.05.2013,Christi Himmelfahrt
20.05.2013,Pfingstmontag
03.10.2013,Tag der Deutschen Einheit
25.12.2013,1. Weihnachtstag
26.12.2013,2. Weihnachtstag
01.01.2014,Neujahr
18.04.2014,Karfreitag
21.04.2014,Ostermontag
01.05.2014,Maifeiertag
29.05.2014,Christi Himmelfahrt
09.06.2014,Pfingstmontag
03.10.2014,Tag der Deutschen Einheit
25.12.2014,1. Weihnachtstag
26.12.2014,2. Weihnachtstag
01.01.2015,Neujahr
03.04.2015,Karfreitag
06.04.2015,Ostermontag
01.05.2015,Maifeiertag
14.05.2015,Christi Himmelfahrt
25.05.2015,Pfingstmontag
03.10.2015,Tag der Deutschen Einheit
25.12.2015,1. Weihnachtstag
26.12.2015,2. Weihnachtstag
01.01.2016,Neujahr
25.03.2016,Karfreitag
28.03.2016,Ostermontag
01.05.2016,Maifeiertag
05.05.2016,Christi Himmelfahrt
16.05.2016,Pfingstmontag
03.10.2016,Tag der Deutschen Einheit
25.12.2016,1. Weihnachtstag
26.12.2016,2. Weihnachtstag
01.01.2017,Neujahr
14.04.2017,Karfreitag
17.04.2017,Ostermontag
01.05.2017,Maifeiertag
25.05.2017,Christi Himmelfahrt
05.06.2017,Pfingstmontag
03.10.2017,Tag der Deutschen Einheit
25.12.2017,1. Weihnachtstag
26.12.2017,2. Weihnachtstag
01.01.2018,Neujahr
30.03.2018,Karfreitag
02.04.2018,Ostermontag
01.05.2018,Maifeiertag
10.05.2018,Christi Himmelfahrt
21.05.2018,Pfingstmontag
03.10.2018,Tag der Deutschen Einheit
25.12.2018,1. Weihnachtstag
26.12.2018,2. Weihnachtstag
01.01.2019,Neujahr
19.04.2019,Karfreitag
22.04.2019,Ostermontag
01.05.2019,Maifeiertag
30.05.2019,Christi Himmelfahrt
10.06.2019,Pfingstmontag
03.10.2019,Tag der Deutschen Einheit
25.12.2019,1. Weihnachtstag
26.12.2019,2. Weihnachtstag
